Entity,Code,Year,Northern Atlantic cod catch
Eastern Canada,,1508,156
Eastern Canada,,1509,203
Eastern Canada,,1510,251
Eastern Canada,,1511,188
Eastern Canada,,1512,125
Eastern Canada,,1513,125
Eastern Canada,,1514,125
Eastern Canada,,1515,125
Eastern Canada,,1516,125
Eastern Canada,,1517,125
Eastern Canada,,1518,251
Eastern Canada,,1519,376
Eastern Canada,,1520,501
Eastern Canada,,1521,125
Eastern Canada,,1522,376
Eastern Canada,,1523,156
Eastern Canada,,1524,125
Eastern Canada,,1525,376
Eastern Canada,,1526,627
Eastern Canada,,1527,877
Eastern Canada,,1528,501
Eastern Canada,,1529,125
Eastern Canada,,1530,376
Eastern Canada,,1531,251
Eastern Canada,,1532,125
Eastern Canada,,1533,251
Eastern Canada,,1534,125
Eastern Canada,,1535,376
Eastern Canada,,1536,125
Eastern Canada,,1537,1128
Eastern Canada,,1538,376
Eastern Canada,,1539,376
Eastern Canada,,1540,125
Eastern Canada,,1541,9658
Eastern Canada,,1542,752
Eastern Canada,,1543,1505
Eastern Canada,,1544,251
Eastern Canada,,1545,156
Eastern Canada,,1546,3011
Eastern Canada,,1547,1631
Eastern Canada,,1548,1631
Eastern Canada,,1549,12418
Eastern Canada,,1550,156
Eastern Canada,,1551,219
Eastern Canada,,1552,219
Eastern Canada,,1553,657
Eastern Canada,,1554,219
Eastern Canada,,1555,23894
Eastern Canada,,1556,1752
Eastern Canada,,1557,2631
Eastern Canada,,1558,84
Eastern Canada,,1559,11179
Eastern Canada,,1560,8330
Eastern Canada,,1561,6794
Eastern Canada,,1562,657
Eastern Canada,,1563,2409
Eastern Canada,,1564,10741
Eastern Canada,,1565,26084
Eastern Canada,,1566,876
Eastern Canada,,1567,745
Eastern Canada,,1568,613
Eastern Canada,,1569,482
Eastern Canada,,1570,350
Eastern Canada,,1571,219
Eastern Canada,,1572,3069
Eastern Canada,,1573,219
Eastern Canada,,1574,1314
Eastern Canada,,1575,4164
Eastern Canada,,1576,1533
Eastern Canada,,1577,3726
Eastern Canada,,1578,2409
Eastern Canada,,1579,2409
Eastern Canada,,1580,3507
Eastern Canada,,1581,1314
Eastern Canada,,1582,3288
Eastern Canada,,1583,2190
Eastern Canada,,1584,657
Eastern Canada,,1585,10301
Eastern Canada,,1586,8285
Eastern Canada,,1587,6268
Eastern Canada,,1588,4252
Eastern Canada,,1589,2235
Eastern Canada,,1590,219
Eastern Canada,,1591,219
Eastern Canada,,1592,219
Eastern Canada,,1593,219
Eastern Canada,,1594,219
Eastern Canada,,1595,219
Eastern Canada,,1596,22140
Eastern Canada,,1597,219
Eastern Canada,,1598,3726
Eastern Canada,,1599,4602
Eastern Canada,,1600,3891
Eastern Canada,,1601,20621
Eastern Canada,,1602,23878
Eastern Canada,,1603,3249
Eastern Canada,,1604,10306
Eastern Canada,,1605,17363
Eastern Canada,,1606,10856
Eastern Canada,,1607,9764
Eastern Canada,,1608,18455
Eastern Canada,,1609,22796
Eastern Canada,,1610,31477
Eastern Canada,,1611,24961
Eastern Canada,,1612,30394
Eastern Canada,,1613,49932
Eastern Canada,,1614,37993
Eastern Canada,,1615,18455
Eastern Canada,,1616,21713
Eastern Canada,,1617,6507
Eastern Canada,,1618,10856
Eastern Canada,,1619,14287
Eastern Canada,,1620,128101
Eastern Canada,,1621,16280
Eastern Canada,,1622,2903
Eastern Canada,,1623,10856
Eastern Canada,,1624,8681
Eastern Canada,,1625,6507
Eastern Canada,,1626,81959
Eastern Canada,,1627,157412
Eastern Canada,,1628,122677
Eastern Canada,,1629,13022
Eastern Canada,,1630,13022
Eastern Canada,,1631,13022
Eastern Canada,,1632,13022
Eastern Canada,,1633,13022
Eastern Canada,,1634,13022
Eastern Canada,,1635,13022
Eastern Canada,,1636,29311
Eastern Canada,,1637,21713
Eastern Canada,,1638,21713
Eastern Canada,,1639,28219
Eastern Canada,,1640,21713
Eastern Canada,,1641,39075
Eastern Canada,,1642,16280
Eastern Canada,,1643,21713
Eastern Canada,,1644,21713
Eastern Canada,,1645,21713
Eastern Canada,,1646,26053
Eastern Canada,,1647,21167
Eastern Canada,,1648,16280
Eastern Canada,,1649,20621
Eastern Canada,,1650,15303
Eastern Canada,,1651,9985
Eastern Canada,,1652,8695
Eastern Canada,,1653,7406
Eastern Canada,,1654,6394
Eastern Canada,,1655,5382
Eastern Canada,,1656,4370
Eastern Canada,,1657,3358
Eastern Canada,,1658,2346
Eastern Canada,,1659,1333
Eastern Canada,,1660,321
Eastern Canada,,1661,20292
Eastern Canada,,1662,40262
Eastern Canada,,1663,643
Eastern Canada,,1664,111129
Eastern Canada,,1665,46705
Eastern Canada,,1666,5797
Eastern Canada,,1667,5476
Eastern Canada,,1668,5476
Eastern Canada,,1669,5476
Eastern Canada,,1670,28666
Eastern Canada,,1671,5476
Eastern Canada,,1672,5476
Eastern Canada,,1673,7730
Eastern Canada,,1674,9985
Eastern Canada,,1675,46705
Eastern Canada,,1676,14494
Eastern Canada,,1677,12560
Eastern Canada,,1678,10627
Eastern Canada,,1679,9985
Eastern Canada,,1680,26411
Eastern Canada,,1681,52180
Eastern Canada,,1682,38653
Eastern Canada,,1683,39620
Eastern Canada,,1684,25769
Eastern Canada,,1685,52180
Eastern Canada,,1686,46383
Eastern Canada,,1687,47671
Eastern Canada,,1688,38008
Eastern Canada,,1689,14745
Eastern Canada,,1690,2768
Eastern Canada,,1691,3864
Eastern Canada,,1692,1604
Eastern Canada,,1693,8373
Eastern Canada,,1694,8051
Eastern Canada,,1695,8373
Eastern Canada,,1696,16427
Eastern Canada,,1697,11594
Eastern Canada,,1698,62489
Eastern Canada,,1699,53147
Eastern Canada,,1700,27570
Eastern Canada,,1701,24765
Eastern Canada,,1702,21960
Eastern Canada,,1703,19674
Eastern Canada,,1704,17388
Eastern Canada,,1705,15101
Eastern Canada,,1706,18993
Eastern Canada,,1707,22884
Eastern Canada,,1708,25651
Eastern Canada,,1709,15109
Eastern Canada,,1710,23679
Eastern Canada,,1711,19776
Eastern Canada,,1712,11694
Eastern Canada,,1713,20522
Eastern Canada,,1714,21590
Eastern Canada,,1715,17378
Eastern Canada,,1716,15209
Eastern Canada,,1717,26153
Eastern Canada,,1718,21303
Eastern Canada,,1719,20684
Eastern Canada,,1720,17015
Eastern Canada,,1721,19206
Eastern Canada,,1722,21397
Eastern Canada,,1723,23589
Eastern Canada,,1724,22036
Eastern Canada,,1725,23136
Eastern Canada,,1726,30688
Eastern Canada,,1727,29675
Eastern Canada,,1728,28289
Eastern Canada,,1729,26904
Eastern Canada,,1730,46829
Eastern Canada,,1731,50631
Eastern Canada,,1732,50295
Eastern Canada,,1733,50570
Eastern Canada,,1734,49738
Eastern Canada,,1735,49561
Eastern Canada,,1736,46229
Eastern Canada,,1737,52819
Eastern Canada,,1738,59410
Eastern Canada,,1739,66328
Eastern Canada,,1740,46094
Eastern Canada,,1741,57446
Eastern Canada,,1742,49737
Eastern Canada,,1743,42027
Eastern Canada,,1744,44130
Eastern Canada,,1745,46233
Eastern Canada,,1746,48422
Eastern Canada,,1747,62175
Eastern Canada,,1748,75928
Eastern Canada,,1749,88793
Eastern Canada,,1750,80790
Eastern Canada,,1751,68907
Eastern Canada,,1752,89496
Eastern Canada,,1753,72965
Eastern Canada,,1754,73654
Eastern Canada,,1755,60362
Eastern Canada,,1756,54590
Eastern Canada,,1757,48819
Eastern Canada,,1758,55736
Eastern Canada,,1759,62652
Eastern Canada,,1760,69569
Eastern Canada,,1761,76485
Eastern Canada,,1762,83401
Eastern Canada,,1763,90318
Eastern Canada,,1764,97234
Eastern Canada,,1765,92191
Eastern Canada,,1766,103712
Eastern Canada,,1767,104951
Eastern Canada,,1768,102924
Eastern Canada,,1769,100895
Eastern Canada,,1770,112469
Eastern Canada,,1771,111192
Eastern Canada,,1772,130617
Eastern Canada,,1773,132966
Eastern Canada,,1774,120763
Eastern Canada,,1775,117880
Eastern Canada,,1776,96301
Eastern Canada,,1777,79347
Eastern Canada,,1778,62394
Eastern Canada,,1779,66672
Eastern Canada,,1780,70949
Eastern Canada,,1781,75227
Eastern Canada,,1782,79505
Eastern Canada,,1783,83783
Eastern Canada,,1784,88061
Eastern Canada,,1785,103301
Eastern Canada,,1786,119672
Eastern Canada,,1787,132704
Eastern Canada,,1788,162518
Eastern Canada,,1789,126529
Eastern Canada,,1790,112382
Eastern Canada,,1791,87136
Eastern Canada,,1792,92352
Eastern Canada,,1793,92756
Eastern Canada,,1794,93160
Eastern Canada,,1795,93564
Eastern Canada,,1796,93968
Eastern Canada,,1797,94372
Eastern Canada,,1798,94776
Eastern Canada,,1799,95180
Eastern Canada,,1800,95584
Eastern Canada,,1801,95988
Eastern Canada,,1802,96392
Eastern Canada,,1803,96796
Eastern Canada,,1804,97200
Eastern Canada,,1805,92400
Eastern Canada,,1806,110800
Eastern Canada,,1807,98800
Eastern Canada,,1808,86800
Eastern Canada,,1809,115600
Eastern Canada,,1810,125200
Eastern Canada,,1811,130000
Eastern Canada,,1812,104400
Eastern Canada,,1813,126000
Eastern Canada,,1814,133200
Eastern Canada,,1815,150000
Eastern Canada,,1816,145200
Eastern Canada,,1817,142800
Eastern Canada,,1818,141200
Eastern Canada,,1819,130800
Eastern Canada,,1820,128400
Eastern Canada,,1821,128400
Eastern Canada,,1822,126000
Eastern Canada,,1823,124400
Eastern Canada,,1824,126000
Eastern Canada,,1825,138000
Eastern Canada,,1826,137200
Eastern Canada,,1827,129200
Eastern Canada,,1828,129200
Eastern Canada,,1829,132400
Eastern Canada,,1830,135600
Eastern Canada,,1831,112400
Eastern Canada,,1832,95600
Eastern Canada,,1833,104400
Eastern Canada,,1834,119600
Eastern Canada,,1835,108400
Eastern Canada,,1836,126000
Eastern Canada,,1837,118000
Eastern Canada,,1838,110800
Eastern Canada,,1839,128400
Eastern Canada,,1840,134800
Eastern Canada,,1841,146000
Eastern Canada,,1842,146000
Eastern Canada,,1843,138000
Eastern Canada,,1844,127600
Eastern Canada,,1845,146000
Eastern Canada,,1846,131600
Eastern Canada,,1847,126800
Eastern Canada,,1848,137200
Eastern Canada,,1849,168400
Eastern Canada,,1850,158000
Eastern Canada,,1851,125000
Eastern Canada,,1852,119000
Eastern Canada,,1853,117000
Eastern Canada,,1854,104000
Eastern Canada,,1855,131000
Eastern Canada,,1856,151000
Eastern Canada,,1857,169000
Eastern Canada,,1858,134000
Eastern Canada,,1859,154000
Eastern Canada,,1860,166000
Eastern Canada,,1861,156000
Eastern Canada,,1862,158000
Eastern Canada,,1863,130000
Eastern Canada,,1864,130000
Eastern Canada,,1865,126000
Eastern Canada,,1866,117000
Eastern Canada,,1867,130000
Eastern Canada,,1868,121000
Eastern Canada,,1869,130000
Eastern Canada,,1870,144000
Eastern Canada,,1871,155000
Eastern Canada,,1872,155000
Eastern Canada,,1873,152000
Eastern Canada,,1874,171000
Eastern Canada,,1875,222000
Eastern Canada,,1876,170000
Eastern Canada,,1877,158000
Eastern Canada,,1878,161000
Eastern Canada,,1879,204000
Eastern Canada,,1880,206000
Eastern Canada,,1881,220000
Eastern Canada,,1882,206000
Eastern Canada,,1883,223000
Eastern Canada,,1884,222000
Eastern Canada,,1885,204000
Eastern Canada,,1886,216000
Eastern Canada,,1887,191000
Eastern Canada,,1888,185000
Eastern Canada,,1889,173000
Eastern Canada,,1890,170000
Eastern Canada,,1891,181000
Eastern Canada,,1892,163000
Eastern Canada,,1893,165000
Eastern Canada,,1894,170000
Eastern Canada,,1895,196000
Eastern Canada,,1896,188000
Eastern Canada,,1897,190000
Eastern Canada,,1898,200000
Eastern Canada,,1899,217000
Eastern Canada,,1900,206000
Eastern Canada,,1901,219000
Eastern Canada,,1902,222000
Eastern Canada,,1903,211000
Eastern Canada,,1904,191000
Eastern Canada,,1905,222000
Eastern Canada,,1906,216000
Eastern Canada,,1907,234000
Eastern Canada,,1908,273000
Eastern Canada,,1909,261000
Eastern Canada,,1910,238000
Eastern Canada,,1911,226000
Eastern Canada,,1912,220000
Eastern Canada,,1913,211000
Eastern Canada,,1914,182000
Eastern Canada,,1915,215000
Eastern Canada,,1916,224000
Eastern Canada,,1917,253000
Eastern Canada,,1918,236000
Eastern Canada,,1919,265000
Eastern Canada,,1920,222000
Eastern Canada,,1921,250000
Eastern Canada,,1922,249000
Eastern Canada,,1923,239000
Eastern Canada,,1924,223000
Eastern Canada,,1925,256000
Eastern Canada,,1926,289000
Eastern Canada,,1927,278000
Eastern Canada,,1928,250000
Eastern Canada,,1929,245000
Eastern Canada,,1930,241000
Eastern Canada,,1931,216000
Eastern Canada,,1932,227000
Eastern Canada,,1933,250000
Eastern Canada,,1934,268000
Eastern Canada,,1935,260000
Eastern Canada,,1936,261000
Eastern Canada,,1937,225000
Eastern Canada,,1938,277000
Eastern Canada,,1939,203000
Eastern Canada,,1940,190000
Eastern Canada,,1941,184000
Eastern Canada,,1942,165000
Eastern Canada,,1943,209000
Eastern Canada,,1944,225000
Eastern Canada,,1945,257000
Eastern Canada,,1946,252000
Eastern Canada,,1947,287000
Eastern Canada,,1948,268000
Eastern Canada,,1949,280000
Eastern Canada,,1950,272000
Eastern Canada,,1951,272000
Eastern Canada,,1952,265000
Eastern Canada,,1953,238000
Eastern Canada,,1954,315843
Eastern Canada,,1955,232858
Eastern Canada,,1956,263210
Eastern Canada,,1957,254456
Eastern Canada,,1958,206710
Eastern Canada,,1959,359572
Eastern Canada,,1960,467802
Eastern Canada,,1961,505105
Eastern Canada,,1962,507026
Eastern Canada,,1963,509209
Eastern Canada,,1964,602651
Eastern Canada,,1965,545035
Eastern Canada,,1966,524505
Eastern Canada,,1967,611764
Eastern Canada,,1968,810014
Eastern Canada,,1969,753690
Eastern Canada,,1970,520226
Eastern Canada,,1971,439518
Eastern Canada,,1972,458295
Eastern Canada,,1973,354509
Eastern Canada,,1974,372650
Eastern Canada,,1975,287508
Eastern Canada,,1976,214220
Eastern Canada,,1977,172720
Eastern Canada,,1978,138559
Eastern Canada,,1979,166899
Eastern Canada,,1980,175788
Eastern Canada,,1981,170748
Eastern Canada,,1982,229774
Eastern Canada,,1983,232345
Eastern Canada,,1984,232471
Eastern Canada,,1985,231293
Eastern Canada,,1986,266713
Eastern Canada,,1987,239924
Eastern Canada,,1988,268677
Eastern Canada,,1989,253990
Eastern Canada,,1990,219452
Eastern Canada,,1991,172012
Eastern Canada,,1992,40956
Eastern Canada,,1993,11392
Eastern Canada,,1994,1314
Eastern Canada,,1995,413
Eastern Canada,,1996,1875
Eastern Canada,,1997,877
Eastern Canada,,1998,4507
Eastern Canada,,1999,8526
Eastern Canada,,2000,5430
Eastern Canada,,2001,6969
Eastern Canada,,2002,4249
Eastern Canada,,2003,994
Eastern Canada,,2004,649
Eastern Canada,,2005,1331
Eastern Canada,,2006,2701
Eastern Canada,,2007,2931
Eastern Canada,,2008,3385
Eastern Canada,,2009,3116
Eastern Canada,,2010,2962
Eastern Canada,,2011,3770
Eastern Canada,,2012,3871
Eastern Canada,,2013,4506
Eastern Canada,,2014,4870
Eastern Canada,,2015,4436
Eastern Canada,,2016,6916
Eastern Canada,,2017,13013
Eastern Canada,,2018,11000
Eastern Canada,,2019,10559